"","Estimate","Std..Error","t.value","variable"
"(Intercept)",0.0636188227630174,0.0214625645143184,2.96417619248506,"FDiv"
"log(Age)",-0.0151233590196277,0.00719030920311378,-2.10329745111358,"FDiv"
"(Intercept)1",-0.308382689188141,0.115256085623243,-2.67563042350929,"SpR"
"log(Age)1",0.0820369049430578,0.0410586032312108,1.99804422184282,"SpR"
