"","Estimate","Std..Error","t.value","p.z","variable"
"(Intercept)",3.42061650586772,0.629131841923886,5.43704240975543,1e-04,"FD_standardised"
"log(Age)",-1.24412189995193,0.218905135804774,-5.68338378804176,1e-04,"FD_standardised"
