"","variable","Lower","Median","Upper"
"1","M_Tree",69.5500467772968,75.906265031265,82.0157686387686
"2","M_Cult",9.20412638287638,13.6220298220298,18.9962395382395
"3","M_other",6.50596861471861,10.2911928811929,14.5357572150072
