Site,StudyID,SF Age,Dist1,Dist2,PFCont,PF.SR,PF.SSR,PF.Fric,PF.Feve,PF.Fdiv,SF.SR,SF.SSR,SF.Fric,SF.Feve,SF.Fdiv,Prop.SR,Prop.SSR,Prop.Fric,Prop.Feve,Prop.Fdiv
2,1,5,AR,N,No,46,12,29.58489133,0.221587128,0.925897069,32,12,22.34200584,0.27180031,0.851777445,2.666666667,1,0.755182961,1.226606947,0.919948311
8,4,3,SB,Y,,50,7,7.409626158,0.104166667,0.842610943,58,9,16.0443236,0.125,0.828829169,8.285714286,1.285714286,2.1653351,1.2,0.983643964
9,4,11.5,SB,Y,,50,7,7.409626158,0.104166667,0.842610943,63,7,7.409626158,0.081967213,0.83636539,9,1,1,0.786885246,0.992587857
14,6,4,SB,Y,Yes,51,12,34.01750191,0.193583313,0.919887516,55,12,34.01750191,0.179849198,0.884318364,4.583333333,1,1,0.929053207,0.961333151
19,8,1,SB,Y,No,84,11,19.70648977,0.109756098,0.871697298,47,12,25.05866807,0.202648102,0.820443989,4.272727273,1.090909091,1.271594706,1.846349375,0.941202859
20,8,5,SB,Y,No,84,11,19.70648977,0.109756098,0.871697298,67,12,27.16739501,0.13230816,0.851013068,6.090909091,1.090909091,1.378601432,1.205474348,0.976271315
21,8,10,SB,Y,No,84,11,19.70648977,0.109756098,0.871697298,66,14,36.47183758,0.164090808,0.83110276,6,1.272727273,1.850752621,1.49504958,0.953430465
22,8,25,SB,Y,No,84,11,19.70648977,0.109756098,0.871697298,75,9,18.52687907,0.095890411,0.719139442,6.818181818,0.818181818,0.940141004,0.873668189,0.824987577
23,8,100,UD,N,No,84,11,19.70648977,0.109756098,0.871697298,83,12,34.06332517,0.12299004,0.825939696,7.545454545,1.090909091,1.72853337,1.120575917,0.947507464
30,11,40,CC,Y,Yes,29,8,12.09229968,0.216348883,0.804399115,29,7,8.672542607,0.185185185,0.828576715,3.625,0.875,0.717195475,0.855956279,1.030056721
