SiteID,Taxon ID,Scientific name,Sc,V,I,F,N,P,Se,No of guilds
3,6001020,Trogon curucui,0,0,1,0,0,0,0,1
3,6001312,Piaya cayana,0,0,1,0,0,0,0,1
3,6001554,Ara severus,0,0,0,1,0,1,1,3
3,6001575,Aratinga weddellii,0,0,0,1,1,0,0,2
3,6001653,Pionus menstruus,0,0,0,1,1,0,1,3
3,6001681,Amazona ochrocephala,0,0,0,1,1,0,1,3
3,6001693,Streptoprocne rutila,0,0,1,0,0,0,0,1
3,6001703,Streptoprocne zonaris,0,0,1,0,0,0,0,1
3,6001801,Threnetes leucurus,0,0,1,0,1,0,0,2
3,6001805,Phaethornis superciliosus,0,0,1,0,1,0,0,2
3,6001808,Phaethornis hispidus,0,0,1,0,1,0,0,2
3,6001820,Phaethornis stuarti,0,0,1,0,1,0,0,2
3,6001825,Eutoxeres condamini,0,0,1,0,1,0,0,2
3,6001844,Florisuga mellivora,0,0,1,0,1,0,0,2
3,6001899,Thalurania furcata,0,0,1,0,1,0,0,2
3,6001915,Chrysuronia oenone,0,0,1,0,1,0,0,2
3,6001937,Amazilia lactea,0,0,1,0,1,0,0,2
3,6002205,Megascops watsonii,0,0,1,0,0,0,0,1
3,6002257,Pulsatrix perspicillata,0,1,0,0,0,0,0,1
3,6002270,Glaucidium brasilianum,0,0,1,0,0,0,0,1
3,6002488,Patagioenas plumbea,0,0,0,1,0,0,1,2
3,6002582,Leptotila rufaxilla,0,0,0,0,0,0,1,1
3,6002602,Geotrygon montana,0,0,1,1,0,0,1,3
3,6003339,Elanoides forficatus,0,0,1,0,0,0,0,1
3,6003349,Harpagus bidentatus,0,1,1,0,0,0,0,2
3,6003352,Ictinia plumbea,0,0,1,0,0,0,0,1
3,6003484,Leucopternis albicollis,0,1,0,0,0,0,0,1
3,6003499,Buteo magnirostris,0,1,1,0,0,0,0,2
3,6003558,Spizaetus tyrannus,0,1,0,0,0,0,0,1
3,6003564,Ibycter americanus,0,0,1,0,0,0,0,1
3,6003573,Herpetotheres cachinnans,0,1,0,0,0,0,0,1
3,6003609,Falco rufigularis,0,1,1,0,0,0,0,2
3,6003817,Coragyps atratus,1,0,0,0,0,0,0,1
3,6003818,Cathartes aura,1,0,0,0,0,0,0,1
3,6003820,Cathartes melambrotus,1,0,0,0,0,0,0,1
3,6003823,Sarcoramphus papa,1,0,0,0,0,0,0,1
3,6004044,Mionectes striaticollis,0,0,1,1,0,0,0,2
3,6004047,Mionectes macconnelli,0,0,1,1,0,0,0,2
3,6004092,Todirostrum chrysocrotaphum,0,0,1,0,0,0,0,1
3,6004130,Myiopagis gaimardii,0,0,1,1,0,0,0,2
3,6004141,Elaenia albiceps,0,0,1,1,0,0,0,2
3,6004210,Myiornis auricularis,0,0,1,0,0,0,0,1
3,6004212,Myiornis ecaudatus,0,0,1,0,0,0,0,1
3,6004225,Tolmomyias assimilis,0,0,1,0,0,0,0,1
3,6004227,Tolmomyias flaviventris,0,0,1,1,0,0,0,2
3,6004233,Platyrinchus platyrhynchos,0,0,1,0,0,0,0,1
3,6004248,Terenotriccus erythrurus,0,0,1,0,0,0,0,1
3,6004371,Attila spadiceus,0,1,1,0,0,0,0,2
3,6004375,Rhytipterna simplex,0,0,1,1,0,0,0,2
3,6004436,Legatus leucophaius,0,0,1,1,0,0,0,2
3,6004451,Pachyramphus marginatus,0,0,1,1,0,0,0,2
3,6004461,Tityra semifasciata,0,0,0,1,0,0,0,1
3,6004517,Gymnoderus foetidus,0,0,0,1,0,0,0,1
3,6004519,Querula purpurata,0,0,1,1,0,0,0,2
3,6004533,Pipra fasciicauda,0,0,0,1,0,0,0,1
3,6004564,Machaeropterus pyrocephalus,0,0,1,1,0,0,0,2
3,6004585,Cymbilaimus lineatus,0,0,1,0,0,0,0,1
3,6004612,Thamnophilus schistaceus,0,0,1,0,0,0,0,1
3,6004613,Thamnophilus murinus,0,0,1,0,0,0,0,1
3,6004636,Thamnomanes ardesiacus,0,0,1,0,0,0,0,1
3,6004653,Epinecrophylla haematonota,0,0,1,0,0,0,0,1
3,6004655,Epinecrophylla ornata,0,0,1,0,0,0,0,1
3,6004657,Myrmotherula axillaris,0,0,1,0,0,0,0,1
3,6004668,Myrmotherula menetriesii,0,0,1,0,0,0,0,1
3,6004683,Herpsilochmus rufimarginatus,0,0,1,0,0,0,0,1
3,6004705,Cercomacra cinerascens,0,0,1,0,0,0,0,1
3,6004719,Myrmoborus leucophrys,0,0,1,0,0,0,0,1
3,6004721,Myrmoborus myotherinus,0,0,1,0,0,0,0,1
3,6004754,Pithys albifrons,0,0,1,0,0,0,0,1
3,6004762,Rhegmatorhina melanosticta,0,0,1,0,0,0,0,1
3,6004768,Hylophylax naevius,0,0,1,0,0,0,0,1
3,6004857,Synallaxis gujanensis,0,0,1,0,0,0,0,1
3,6004860,Synallaxis cherriei,0,0,1,0,0,0,0,1
3,6004986,Automolus ochrolaemus,0,1,1,0,0,0,0,2
3,6005005,Xenops minutus,0,0,1,0,0,0,0,1
3,6005017,Sittasomus griseicapillus,0,0,1,0,0,0,0,1
3,6005018,Glyphorynchus spirurus,0,0,1,0,0,0,0,1
3,6005030,Dendrocolaptes picumnus,0,0,1,0,0,0,0,1
3,6005058,Formicarius analis,0,0,1,0,0,0,0,1
3,6005105,Myrmothera campanisona,0,0,1,0,0,0,0,1
3,6005559,Vireolanius leucotis,0,0,1,0,0,0,0,1
3,6005584,Vireo olivaceus,0,0,1,0,0,0,0,1
3,6005600,Hylophilus hypoxanthus,0,0,1,0,0,0,0,1
