"Site","Study","PF_SF","Age","Point_obs","Mist_nets","Transect","Vocal","SpR","FDpg","FRic","qual_FRic","FEve","FDiv","FDis","RaoQ","PF_SpR","PF_FRic","PF_FEve","PF_FDiv","PF_FDis","PF_RaoQ","SpR_comp","FR_comp","FE_comp","FDiv_comp","FDis_comp","Rao_comp"
86,34,"SF",14,"Yes","No","No","Yes",31,2.93218440391866,2.29758975717986e-11,0.823241099931661,0.897809642946378,0.788763257403027,0.0992334131590115,0.0134278339428576,32,3.58835612653001e-11,0.891431214269321,0.790542601877836,0.101801784928792,0.0137597916128722,-0.0317486983145803,-0.445833552346951,0.00712978990094836,-0.002253325683856,-0.0255528538670324,-0.0244209754194848
87,34,"SF",5,"Yes","No","No","Yes",31,2.93218440391866,2.29758975717986e-11,0.823241099931661,0.897809642946378,0.788763257403027,0.0992334131590115,0.0134278339428576,32,3.58835612653001e-11,0.891431214269321,0.790542601877836,0.101801784928792,0.0137597916128722,-0.0317486983145803,-0.445833552346951,0.00712978990094836,-0.002253325683856,-0.0255528538670324,-0.0244209754194848
82,33,"SF",4,"Yes","No","No","Yes",35,3.03365718590372,5.34891868846619e-12,0.773129502581308,0.834500721694792,0.80403235653132,0.074512616268152,0.00808006641175333,52,8.88932064692219e-12,0.845860924595099,0.814778284201426,0.0715141828235574,0.00703356094174616,-0.395895657092014,-0.507956202762109,-0.0135213464363461,-0.0132765194944507,0.0410726657317326,0.138706979099625
83,33,"SF",3.5,"Yes","No","No","Yes",16,1.72365469164729,2.38207817803261e-15,0.773129502581308,0.856543482274786,0.792483281262171,0.0621172232048439,0.00515095420680081,52,8.88932064692219e-12,0.845860924595099,0.814778284201426,0.0715141828235574,0.00703356094174616,-1.17865499634165,-8.22463261719165,0.0125501295108253,-0.0277446229758168,-0.140872494417779,-0.311511132289166
84,33,"SF",5.5,"Yes","No","No","Yes",32,2.57635139083501,2.36894478284465e-14,0.773129502581308,0.875072191669071,0.813024158296345,0.0513968626906335,0.00310249975779141,52,8.88932064692219e-12,0.845860924595099,0.814778284201426,0.0715141828235574,0.00703356094174616,-0.485507815781701,-5.92757619823235,0.0339514333580758,-0.00215520819758824,-0.330318657746552,-0.818484952648225
78,31,"SF",17.5,"Yes","Yes","No","Yes",68,4.16909956148246,8.32645312019416e-11,0.790256745317456,0.856980986499469,0.811984564796974,0.0852530765117686,0.010876056516189,50,3.65928465301387e-11,0.852476942443131,0.834547093695122,0.0831905340561024,0.00992936795820356,0.307484699747961,0.822169891292653,0.00526957043232654,-0.0274078438266472,0.0244906356367252,0.0910668968662218
74,30,"SF",17.5,"No","Yes","No","No",37,2.56651641497478,1.95708253527944e-13,0.792327785447635,0.836754093786817,0.844446681123413,0.0669076669297794,0.00522104787957243,63,6.21221488539183e-11,0.770768237007428,0.804861673355454,0.081205928195746,0.010492084161712,-0.532216813747308,-5.76023282074447,0.0821425046996914,0.0480111693211737,-0.193674688434959,-0.697922958523796
75,30,"SF",17.5,"No","Yes","No","No",23,1.69145674326567,3.09353492463372e-15,0.792327785447635,0.839232590326737,0.830075651626346,0.0586828235891095,0.00402010921520373,63,6.21221488539183e-11,0.770768237007428,0.804861673355454,0.081205928195746,0.010492084161712,-1.00764051046238,-9.9075434430383,0.0851001634569888,0.0308464148625161,-0.324841181298558,-0.959312013262216
76,30,"SF",40,"No","Yes","No","No",56,3.24290185132635,2.7268993056613e-12,0.792327785447635,0.774077570356433,0.824025130387996,0.0729559320613345,0.0071390022628716,63,6.21221488539183e-11,0.770768237007428,0.804861673355454,0.081205928195746,0.010492084161712,-0.117783035656383,-3.12593741143245,0.00428436080201167,0.0235305991758002,-0.107132663366122,-0.385048055991769
72,29,"SF",50,"Yes","No","No","Yes",118,6.4297898926638,6.24624185833317e-12,0.720774376520582,0.811657056087273,0.849495049278582,0.0569320575813561,0.00388457609553486,104,5.57804371838487e-11,0.799134157631497,0.824056943469079,0.0668162346284696,0.00798619461310723,0.126293725324293,-2.18944323958715,0.0155490676344091,0.0304024796151982,-0.160087499761413,-0.720700512880854
