TaxonID,Sc,V,I,F,N,P,Se
6006,0,0,0,1,0,0,0
60012,0,0,0,1,0,1,1
60012,0,0,0,1,0,1,1
60014,0,0,0,1,0,0,1
60014,0,0,0,1,0,0,1
60014,0,0,0,1,0,0,1
60014,0,0,0,1,0,0,1
60014,0,0,0,1,0,0,1
60014,0,0,0,1,0,0,1
60014,0,0,0,1,0,0,1
60015,0,0,1,0,0,0,1
60020,0,0,0,1,0,0,1
60020,0,0,0,1,0,0,1
60020,0,0,0,1,0,0,1
60020,0,0,0,1,0,0,1
60021,0,0,0,1,0,1,1
60021,0,0,0,1,0,1,1
60021,0,0,0,1,0,1,1
60021,0,0,0,1,0,1,1
60021,0,0,0,1,0,1,1
60021,0,0,0,1,0,1,1
60021,0,0,0,1,0,1,1
60021,0,0,0,1,0,1,1
60023,0,0,0,0,0,0,1
60023,0,0,0,0,0,0,1
60023,0,0,0,0,0,0,1
60023,0,0,0,0,0,0,1
60025,0,0,1,1,0,0,1
60025,0,0,1,1,0,0,1
60025,0,0,1,1,0,0,1
60028,0,0,0,1,0,0,1
60028,0,0,0,1,0,0,1
60034,0,0,1,0,0,1,1
60034,0,0,1,0,0,1,1
60036,0,0,1,1,0,0,1
60036,0,0,1,1,0,0,1
60036,0,0,1,1,0,0,1
60041,0,0,1,0,0,1,1
60060,0,0,0,1,0,0,0
60061,0,0,0,1,0,0,0
60061,0,0,0,1,0,0,0
60066,0,0,0,1,0,1,1
60066,0,0,0,1,0,1,1
60069,0,0,0,1,0,0,0
60069,0,0,0,1,0,0,0
60070,0,0,0,1,0,0,0
60070,0,0,0,1,0,0,0
60070,0,0,0,1,0,0,0
60070,0,0,0,1,0,0,0
60076,0,0,0,1,0,0,0
60077,0,0,0,1,0,0,0
60077,0,0,0,1,0,0,0
60079,0,0,0,1,0,0,0
60079,0,0,0,1,0,0,0
60079,0,0,0,1,0,0,0
60079,0,0,0,1,0,0,0
60079,0,0,0,1,0,0,0
60082,0,0,0,1,0,0,0
60082,0,0,0,1,0,0,0
60088,0,0,0,1,0,0,0
60093,0,0,0,1,0,0,0
60093,0,0,0,1,0,0,0
60094,0,0,0,1,0,0,0
60094,0,0,0,1,0,0,0
