SiteID,Study,Age,PF_SF,Point_obs,Mist_nets,Transect,Vocal,SpR,Shan_div,Even,FDpg,FDw,FRic,FEve,FDiv,FDis,RaoQ,BodyMass.Value
57,22,30,SF,No,No,Yes,Yes,0,-0.053065391,-0.053065391,0,-0.156459413,0,-0.239395679,-0.047228307,-0.228580784,-0.293967156,-0.296461132
56,22,10,SF,No,No,Yes,Yes,0,-0.097868805,-0.097868805,0,-0.236835941,0,-0.221550546,-0.063865022,-0.330290891,-0.403189415,-0.404271529
61,24,20,SF,Yes,Yes,No,Yes,-0.353279355,-0.054858998,0.028231709,-0.21045093,0.208014231,-1.154937891,-0.225448859,0.000795642,0.022956384,0.03464308,-0.049094419
63,25,50,SF,No,Yes,No,No,-0.265703166,-0.120271144,-0.053174511,-0.218819785,-0.660559924,-3.408961652,0.232078576,0.071475131,-0.031534015,-0.197018631,-0.039986035
65,26,9,SF,Yes,No,No,Yes,-0.008298803,-0.040402939,-0.038671005,-0.090728925,-0.231972546,0.914884842,0.023139611,0.003135927,-0.057097878,-0.381035309,-1.047957459
68,27,15,SF,Yes,No,No,Yes,-0.554310736,-0.09169247,0.0637589,-0.472420778,0.170506966,-4.725200275,0.302725728,0.052829302,-0.024767681,-0.092311871,-0.015021258
67,27,5,SF,Yes,No,No,Yes,-0.384411699,-0.136011105,-0.030824612,-0.342900743,-0.269708809,-3.814724351,0.203468345,0.106863377,-0.038153931,-0.184700213,-0.175654104
70,28,4,SF,Yes,No,No,Yes,-0.210156356,-0.068457798,-0.025783098,-0.125678654,-0.37218777,-3.364855117,0.04402234,0.076143858,-0.05010856,-0.350817943,-0.312830378
72,29,50,SF,Yes,No,No,Yes,0.126293725,0.022763962,-0.004065626,-0.00211199,-0.121310968,-2.18944324,0.134664995,0.076409602,0.033524364,-0.000567321,-0.209763158
76,30,40,SF,No,Yes,No,No,-0.117783036,-0.009961784,0.018878614,-0.157282685,-0.357596001,-3.125937411,0.240299613,0.040546245,0.003790499,-0.049377549,-0.008339497
75,30,17.5,SF,No,Yes,No,No,-1.00764051,-0.220374074,0.058291802,-0.808161112,-0.138415111,-9.907543443,0.401432911,0.065084426,-0.063052054,-0.249191557,-0.19386109
74,30,17.5,SF,No,Yes,No,No,-0.532216814,-0.137602573,-0.000111901,-0.391201749,-0.695990858,-5.760232821,0.389930842,0.052610296,-0.017077302,-0.144669732,0.016311564
78,31,17.5,SF,Yes,Yes,No,Yes,0.3074847,0.063524131,-0.0121397,0.284855739,0.019907614,0.822169891,0.040838553,-0.057731567,-0.041178588,0.047863435,-0.067024117
87,34,5,SF,Yes,No,No,Yes,-0.031748698,-0.043022858,-0.033819902,-0.048915748,-0.230365107,-0.445833552,0.034420824,0.026805856,0.04543235,0.092720167,0.102159237
86,34,14,SF,Yes,No,No,Yes,-0.031748698,-0.014480055,-0.005277099,-0.048915748,-0.24364688,-0.445833552,0.053673358,0.01740572,0.026362772,0.05747745,0.049250567
