TaxonID,Scientific Name,Scientific_name_database,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,Nocturnal,BodyMass-Value,Body_length_HBW,Body_mass_HBW,Breeding_HBW,Movement_patt_HBW
6009174,Basileuterus nigrocristatus,Basileuterus nigrocristatus,Black-crested Warbler,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,13.64,13.5,15.45,N,Not a Migrant
6009179,Basileuterus coronatus,Basileuterus coronatus,Russet-crowned Warbler,100,0,0,0,0,0,0,0,0,0,0,0,0,70,30,0,0,0,16.3,14,16.5,N,Not a Migrant
6009180,Basileuterus culicivorus,Basileuterus culicivorus,Golden-crowned Warbler,80,0,0,0,0,0,20,0,0,0,0,0,0,70,30,0,0,0,10.5,12.5,10.75,N,Not a Migrant
6009183,Basileuterus rufifrons,Basileuterus rufifrons,Rufous-capped Warbler,80,0,0,0,0,0,20,0,0,0,0,0,0,100,0,0,0,0,10.4,13,11.5,N,Not a Migrant
6009184,Basileuterus belli,Basileuterus belli,Golden-browed Warbler,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,10.7,13,10,N,Not a Migrant
6009187,Basileuterus tristriatus,Basileuterus tristriatus,Three-striped Warbler,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,12.03,13,11.6,N,Not a Migrant
6009188,Basileuterus leucoblepharus,Basileuterus leucoblepharus,White-browed Warbler,100,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,15.1,14.5,17.5,N,Full Migrant
6009191,Phaeothlypis fulvicauda,Phaeothlypis fulvicauda,Buff-rumped Warbler,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,14.9,13.5,14.9,N,Not a Migrant
6009192,Phaeothlypis rivularis,Phaeothlypis rivularis,Neotropical River Warbler,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,13.5,13.5,14,N,Not a Migrant
6009194,Icteria virens,Icteria virens,Yellow-breasted Chat,80,0,0,0,0,0,20,0,0,0,0,0,0,100,0,0,0,0,24.89,19,27,N,Full Migrant
6009195,Granatellus venustus,Granatellus venustus,Red-breasted Chat,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,10.8,15,10.5,N,Not a Migrant
